,nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalité_francaise,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,date_creation_compte,score_credit,loyer_mensuel,montant_pret
24,382,618,58,181.7,59.0,0,1,2,2,0,1,832,2,,0.51,2021-09-10,689.0,,23167.904430812967
25,59,487,32,167.1,76.5,1,0,3,7,1,0,4635,0,5.0,0.8,2020-10-05,,10000.0,1986.2237285384024
26,111,481,51,152.9,70.6,0,1,4,6,0,0,500,1,4.0,0.96,2022-09-04,,10000.0,500.0
27,210,484,22,170.3,84.1,1,0,0,3,1,1,900,4,3.0,0.14,2022-05-02,,,500.0
28,940,459,58,172.7,76.4,0,1,1,6,1,0,3853,2,2.0,0.4,2024-10-28,656.0,10000.0,500.0
29,627,170,49,174.6,70.0,1,0,4,6,0,1,2203,2,,0.8,2021-11-28,,866.27,16750.901381517804
30,846,471,66,156.9,73.7,1,0,3,2,0,0,1672,0,5.0,0.12,2024-04-08,620.0,,500.0
31,358,329,71,169.5,63.8,1,0,4,0,0,1,2267,4,,0.12,2021-01-05,818.0,10000.0,27822.25265661032
32,418,648,44,166.2,56.4,0,1,0,0,0,1,2350,4,4.0,0.08,2020-08-11,,10000.0,12238.402238366429
33,627,420,28,180.5,73.1,1,1,4,7,0,0,2182,2,3.0,0.02,2024-12-17,,10000.0,18547.59442206578
34,401,35,33,184.1,68.2,0,1,1,6,1,1,923,3,3.0,0.57,2021-07-22,,,500.0
35,614,625,46,180.0,80.4,0,0,4,3,1,0,2214,4,3.0,0.86,2025-06-09,464.0,10000.0,500.0
36,826,495,52,166.9,66.4,0,0,1,2,0,0,1959,4,5.0,0.5,2025-06-05,,5000.0,500.0
37,434,614,30,184.7,82.7,0,0,1,5,1,1,2687,0,,0.65,2020-04-03,,5000.0,500.0
38,111,459,27,183.9,60.6,1,1,0,0,0,0,1788,2,,0.9,2025-05-21,461.0,10000.0,500.0
39,384,28,38,182.2,92.7,0,1,4,2,0,0,2125,1,,0.93,2021-10-06,786.0,10000.0,500.0
40,642,450,24,172.9,42.6,0,0,2,7,1,1,1389,0,1.0,0.6,2021-06-04,,793.17,1366.7152302536567
41,192,294,31,151.7,72.7,0,1,0,2,1,1,2850,2,,0.89,2021-01-30,,10000.0,500.0
42,234,320,30,153.3,66.0,0,1,4,2,1,0,1809,3,4.0,0.28,2025-03-16,763.0,5000.0,500.0
43,515,357,24,171.2,80.3,1,1,4,0,1,0,4370,2,,0.15,2024-06-05,804.0,10000.0,7915.101090898372
44,555,451,20,161.2,37.6,0,1,4,1,1,1,4778,4,0.0,0.4,2021-06-23,,,28396.908742389693
45,195,646,72,171.5,97.1,1,0,3,7,1,1,725,3,,0.8,2025-04-18,,10000.0,18632.93584235897
46,629,615,19,169.3,79.9,0,0,0,7,1,0,2124,0,,0.53,2023-03-18,511.0,5000.0,500.0
47,217,178,49,160.0,72.3,1,0,1,4,0,1,3422,4,,0.6,2020-01-07,640.0,,14326.37709078331
48,632,387,47,188.7,73.5,0,0,1,3,1,1,3838,4,2.0,0.5,2022-08-27,,5000.0,500.0
49,515,626,29,167.4,70.9,1,1,0,3,1,1,660,0,,0.64,2024-12-25,499.0,,500.0
50,602,498,64,169.6,60.7,0,0,4,7,0,1,2071,3,3.0,0.6,2021-05-20,,10000.0,16528.519173978777
51,953,170,75,178.4,54.2,1,1,0,0,1,1,2714,2,,0.88,2023-03-27,734.0,10000.0,4704.9737016730005
52,206,264,39,190.1,82.8,0,1,1,5,0,1,2783,3,1.0,0.83,2021-04-30,357.0,577.66,12733.330382969947
53,367,111,60,162.6,77.6,0,0,1,0,1,1,1788,1,,0.56,2024-11-01,726.0,5000.0,10540.674784050036
54,365,124,31,181.1,69.4,1,1,4,3,1,1,2600,1,5.0,0.98,2025-05-12,,5000.0,6156.501558240514
55,883,581,26,159.7,99.5,1,0,3,5,1,0,3008,0,4.0,0.05,2024-07-23,484.0,,500.0
56,556,165,28,160.2,92.5,0,1,2,6,1,0,500,0,0.0,0.4,2024-05-08,805.0,5000.0,500.0
57,921,157,21,168.4,71.1,0,1,3,3,1,1,3695,2,,0.17,2022-04-26,777.0,5000.0,22775.8955135935
58,856,403,70,172.9,70.9,0,1,3,3,1,1,3304,2,,0.28,2025-01-08,497.0,5000.0,8853.723228062805
59,3,262,42,185.9,57.8,1,1,2,0,1,1,897,0,,0.05,2025-05-15,,5000.0,11778.343548052928
60,301,634,62,184.7,67.1,0,1,4,7,0,1,4278,0,5.0,0.7,2022-01-12,455.0,10000.0,31072.702663736723
61,979,379,37,181.5,91.8,1,0,4,6,0,1,3072,0,,0.56,2022-01-23,373.0,,21531.409941811824
62,269,426,34,174.5,75.3,1,0,0,5,1,1,2537,1,0.0,0.97,2025-04-03,,10000.0,500.0
63,186,180,37,164.1,74.1,0,0,4,0,0,0,4525,3,2.0,0.81,2024-12-10,761.0,949.24,10946.391315339892
64,775,528,30,163.1,84.3,1,0,4,1,0,0,1295,3,,0.52,2020-05-02,,,500.0
65,712,108,75,176.9,66.4,0,1,3,5,1,0,1859,0,4.0,0.02,2021-10-06,,547.03,500.0
66,421,189,34,181.6,66.8,1,1,2,3,1,1,1566,0,5.0,0.28,2020-05-22,418.0,,1992.4825524566772
67,33,538,55,172.2,91.8,0,1,1,6,1,1,3929,2,5.0,0.4,2025-05-29,506.0,,15002.912094814255
68,883,459,32,143.5,82.1,1,1,0,1,1,0,3770,1,,0.4,2022-11-08,,,500.0
69,234,32,71,175.2,71.9,1,1,0,2,1,0,4747,2,,0.12,2020-11-04,400.0,5000.0,500.0
70,280,550,44,168.8,56.1,1,0,4,4,1,1,3214,2,2.0,0.82,2020-04-25,402.0,,10488.968596578909
71,627,329,70,169.1,75.5,1,1,3,6,1,1,4602,1,,0.36,2025-02-04,,,28770.26971420019
72,653,611,60,165.9,67.6,0,0,2,5,0,0,3203,3,,0.12,2020-08-29,440.0,944.44,500.0
73,467,552,70,165.1,77.1,1,0,3,0,0,1,3865,0,3.0,0.52,2024-07-06,,1128.66,37282.162849122215
74,58,535,54,180.3,75.4,1,1,0,4,0,1,1851,2,2.0,0.67,2023-10-12,,348.33,10767.439217607673
75,943,1,61,160.7,83.0,1,1,4,5,0,1,1598,2,,0.39,2024-06-24,321.0,10000.0,24759.669493278125
76,404,648,56,177.9,61.9,0,0,0,1,0,1,1770,3,3.0,0.83,2022-11-08,352.0,185.52,4161.441442592443
77,707,294,33,168.1,88.1,1,1,4,1,0,1,1083,2,4.0,0.49,2022-01-29,,10000.0,20879.755904736496
78,938,330,63,183.7,56.2,0,0,3,3,1,1,3127,4,,0.17,2023-06-10,,5000.0,14801.426364952236
79,657,206,33,193.2,42.5,1,1,1,4,1,1,3041,2,1.0,0.66,2021-03-13,,627.58,11145.183005926978
80,39,316,34,163.0,81.6,0,1,3,0,1,0,2741,1,0.0,0.6,2022-07-22,573.0,,500.0
81,321,546,47,167.4,59.2,0,1,3,1,1,1,3059,3,2.0,0.69,2022-02-05,,,28698.200373046937
82,531,363,26,184.2,77.3,0,1,0,3,1,1,2663,4,2.0,0.51,2023-11-30,843.0,748.46,500.0
83,767,506,46,168.0,66.4,1,0,3,5,1,1,3361,2,,0.65,2020-08-18,,10000.0,16872.53990370362
84,342,343,40,155.4,82.9,0,0,3,4,1,0,2530,1,,0.7,2024-02-29,454.0,10000.0,500.0
85,74,193,43,177.3,83.2,1,1,3,5,0,1,2660,3,,0.53,2020-03-04,837.0,926.62,37114.160550787055
86,547,275,55,168.4,80.0,1,1,3,4,0,1,500,4,4.0,0.97,2020-09-26,718.0,559.26,29358.17769561137
87,950,655,18,158.6,77.5,0,1,0,0,1,1,2023,2,0.0,0.89,2023-01-16,,1032.32,500.0
88,964,206,62,171.4,77.2,1,0,2,2,0,1,904,2,5.0,0.29,2021-08-15,561.0,1065.43,6712.726721442828
89,736,584,45,173.3,68.6,1,0,3,7,0,0,568,3,4.0,0.51,2023-07-13,,10000.0,500.0
90,556,266,29,175.2,69.5,0,0,1,6,1,1,3624,3,0.0,0.21,2025-04-01,,1073.5,500.0
91,206,148,30,170.6,54.3,0,1,4,5,0,1,2285,2,,0.07,2021-09-27,,5000.0,24341.03004691129
92,200,614,74,159.7,95.8,1,0,4,7,1,1,1823,3,0.0,0.26,2024-02-06,,5000.0,9958.305010076558
93,448,39,42,173.8,71.8,0,1,0,1,0,1,2040,4,3.0,0.29,2022-10-18,521.0,10000.0,15699.8867602253
94,462,524,23,177.7,66.9,1,0,0,5,1,0,1059,0,,0.72,2022-11-28,,-19.16,500.0
95,667,621,41,179.5,65.6,0,0,2,1,0,1,2321,2,1.0,0.53,2021-12-25,,5000.0,15785.751255071553
96,390,181,30,179.1,71.9,0,1,4,6,1,1,5481,1,,0.08,2024-12-09,307.0,5000.0,22240.901666635506
97,717,351,23,162.2,72.1,1,1,1,0,1,0,3627,3,,0.77,2022-10-08,,,500.0
98,747,165,74,171.8,61.8,0,0,2,6,0,1,1216,1,1.0,0.79,2024-10-29,,5000.0,11292.029477601953
99,860,330,22,190.0,63.9,1,1,1,1,1,1,1731,1,2.0,0.25,2021-11-18,,5000.0,4529.690297241665
100,192,336,71,155.9,37.0,1,0,0,5,0,0,4762,4,4.0,0.03,2023-05-04,396.0,1486.62,500.0
101,175,453,41,175.3,73.0,0,1,2,3,0,1,3480,1,3.0,0.86,2020-02-22,,10000.0,17264.275901828485
102,723,296,18,168.4,73.9,0,0,0,0,0,0,4463,2,,0.15,2022-11-23,747.0,,500.0
103,355,16,18,170.9,61.7,0,0,3,7,0,1,1668,1,,0.83,2023-03-06,514.0,1149.82,25390.88273988203
104,846,522,36,193.8,73.4,1,0,1,1,1,1,974,4,,0.18,2022-06-05,,650.62,500.0
105,556,42,41,154.1,97.5,0,0,4,1,1,1,1993,1,3.0,0.47,2025-01-19,384.0,,1281.9229939424142
106,45,178,59,156.8,75.3,1,0,0,4,1,1,3359,0,,0.58,2020-08-22,,,500.0
107,779,165,18,162.9,79.1,0,1,2,6,1,1,2863,4,,0.34,2020-01-03,,1064.25,4124.384923241231
108,787,435,52,163.6,39.3,1,0,1,6,1,1,2217,3,3.0,0.59,2022-07-03,,5000.0,1703.2091550614111
109,906,248,44,159.6,84.8,0,1,4,7,1,1,3603,2,,0.34,2023-06-23,,,18161.86602584039
110,500,257,64,170.7,71.5,0,0,3,2,0,0,3097,2,,0.83,2024-10-13,,5000.0,500.0
111,750,279,40,169.0,63.5,1,0,2,4,0,0,2140,0,3.0,0.09,2020-02-01,,798.03,500.0
112,747,306,73,178.7,79.1,0,0,1,3,1,1,2777,1,,0.32,2023-07-07,358.0,1172.07,500.0
113,155,96,56,181.1,72.0,0,0,4,6,0,1,1075,4,3.0,0.41,2020-01-04,,10000.0,10667.772211678155
114,615,159,36,174.3,56.6,1,0,0,1,0,1,3619,4,1.0,0.43,2023-01-15,,10000.0,13279.43790734672
115,783,3,34,174.1,67.6,0,1,2,2,0,1,2597,3,1.0,0.3,2023-11-03,,1552.97,14865.32774958236
116,952,33,29,178.3,77.1,1,1,0,2,0,1,3152,0,2.0,0.88,2020-03-12,,,2426.265552876417
117,707,26,25,164.8,42.6,0,0,0,1,0,1,3243,0,,0.56,2021-02-03,483.0,522.19,500.0
118,897,656,59,172.1,66.4,1,1,3,4,1,1,1484,4,,0.25,2022-12-09,486.0,5000.0,17717.330429437272
119,374,304,41,165.8,82.8,1,1,2,2,0,1,1797,1,3.0,0.31,2024-03-11,,283.86,10146.957094539635
120,747,31,74,151.8,51.9,1,0,2,0,1,1,2986,1,0.0,0.74,2020-12-19,,5000.0,11837.808210233152
121,52,124,24,165.3,66.9,0,1,0,1,0,1,1930,2,3.0,0.32,2024-11-14,599.0,948.83,10379.81877962131
122,14,166,73,166.9,69.0,1,0,0,0,0,1,4771,3,0.0,0.47,2020-12-20,630.0,,19719.5017886146
123,388,352,60,167.8,39.7,0,0,0,5,0,0,2600,2,2.0,0.26,2023-09-09,,10000.0,500.0
124,331,47,22,189.5,92.8,0,0,2,4,0,0,1878,1,,0.93,2020-08-09,,,500.0
125,290,320,75,160.8,68.2,1,0,2,0,0,0,4778,0,0.0,0.64,2024-05-06,614.0,5000.0,8980.312053464007
126,873,84,75,160.7,89.3,1,1,1,7,1,0,2248,0,0.0,0.02,2023-04-30,,10000.0,500.0
127,141,80,41,163.7,84.2,0,0,1,3,1,1,3039,4,,0.92,2022-04-16,,883.63,500.0
128,560,614,40,171.7,58.2,0,0,1,7,1,0,1899,3,5.0,0.11,2020-10-18,342.0,,500.0
129,186,472,39,163.6,40.5,1,0,0,7,1,0,3230,0,,0.31,2024-09-03,,10000.0,500.0
130,808,656,47,179.2,67.9,1,1,0,7,0,1,3789,1,,0.68,2020-07-06,377.0,,18509.20677497533
131,522,605,57,174.0,83.7,1,1,1,2,0,1,4207,0,1.0,0.78,2023-06-04,718.0,,21549.82401911197
132,31,296,69,181.4,37.9,0,1,1,7,1,1,1435,0,,0.24,2021-08-07,304.0,,500.0
133,516,124,32,172.4,46.2,1,0,4,2,0,0,1861,4,,0.78,2020-08-13,,5000.0,500.0
134,431,349,74,179.6,79.9,0,1,2,5,1,0,1998,1,3.0,0.59,2023-05-03,774.0,,500.0
135,137,158,55,185.8,54.9,0,1,3,4,1,1,602,3,4.0,0.35,2023-11-24,,10000.0,5428.047793885788
136,91,296,40,177.6,85.5,0,1,4,4,1,1,3474,0,4.0,0.71,2021-03-04,496.0,1278.27,16752.789752354092
137,298,611,56,160.5,66.6,0,0,3,1,0,1,1908,2,5.0,0.47,2024-12-22,318.0,5000.0,20423.84320730014
138,839,148,57,176.5,77.0,1,0,3,2,1,1,1176,2,0.0,0.32,2020-06-29,,,500.0
139,725,363,38,160.2,57.8,0,0,0,3,1,1,3112,1,,0.7,2020-12-18,822.0,623.38,500.0
140,129,560,33,167.5,38.5,0,1,4,6,0,1,2377,3,,0.44,2022-05-18,646.0,5000.0,18901.259369115334
141,846,320,48,156.8,77.6,1,1,3,7,1,1,4010,3,2.0,0.57,2025-05-28,,10000.0,40137.50246898064
142,489,475,59,174.4,62.1,1,1,1,6,1,0,2448,3,,0.33,2020-03-25,,10000.0,500.0
143,383,552,41,172.6,62.4,0,0,2,7,1,0,4319,0,5.0,0.08,2020-01-27,,,500.0
144,701,287,43,153.2,69.8,1,1,2,0,0,1,4897,3,0.0,0.27,2023-09-14,768.0,10000.0,35962.04802835945
145,15,524,45,168.0,58.7,0,0,1,6,0,0,4231,2,2.0,0.06,2021-10-03,,5000.0,500.0
146,768,175,61,167.0,57.3,1,0,3,4,1,1,2261,4,,0.73,2023-01-13,762.0,734.6,24528.671120857394
147,846,511,21,162.0,79.6,1,0,0,3,1,1,645,3,4.0,0.03,2025-01-08,818.0,10000.0,500.0
148,115,48,22,160.4,73.5,0,1,4,6,0,0,3191,3,,0.74,2020-02-06,,10000.0,3639.7413556351794
149,846,133,75,147.7,54.3,0,0,4,1,0,0,2452,2,4.0,0.49,2023-12-18,380.0,,500.0
150,862,20,60,164.2,79.5,1,1,4,7,0,1,2571,4,2.0,0.41,2020-04-15,,10000.0,33049.468422152735
151,214,552,44,150.0,57.9,0,0,2,3,0,1,4154,0,,0.76,2022-01-18,,5000.0,10656.8885958248
152,831,206,21,179.9,48.9,0,1,2,5,0,0,969,2,,0.02,2024-12-02,,731.72,500.0
153,209,329,29,178.0,76.3,1,0,1,7,1,1,3121,0,1.0,0.72,2022-07-10,701.0,5000.0,7051.1771065952
154,31,639,25,166.1,82.6,0,0,4,5,0,0,3384,1,,0.65,2020-08-01,630.0,10000.0,500.0
155,56,330,68,185.4,56.5,0,1,0,0,0,1,2285,0,1.0,0.21,2020-12-16,792.0,10000.0,2724.919805153449
156,700,169,27,157.7,52.5,0,1,3,0,1,1,2483,4,2.0,0.99,2025-02-20,666.0,33.29,26282.620988748466
157,342,342,72,157.2,64.2,0,0,1,3,0,1,2466,3,,0.16,2022-01-16,801.0,,5070.610961595275
158,565,517,72,162.2,54.9,0,1,3,1,0,0,2684,3,,0.78,2021-12-04,,5000.0,15080.08702060483
159,615,367,35,178.6,70.5,1,1,0,3,0,1,4243,3,2.0,0.02,2022-08-19,359.0,10000.0,14306.900020371317
160,39,2,44,154.9,67.5,0,0,1,5,0,1,2265,4,,0.22,2024-04-12,,10000.0,6693.74203294808
161,456,360,23,153.4,74.9,1,1,4,6,1,0,3055,0,,0.35,2020-06-15,385.0,,1798.0125221383746
162,935,498,42,170.7,87.0,0,1,3,7,0,0,1203,4,,0.38,2024-06-03,,,10497.778053549608
163,497,195,62,165.3,86.1,0,0,0,2,1,0,4340,0,2.0,0.7,2021-12-19,698.0,1004.67,500.0
164,226,429,23,170.3,91.7,0,0,0,2,0,1,1676,2,,0.04,2022-08-24,657.0,10000.0,500.0
165,261,417,23,170.8,46.7,1,1,2,1,1,1,531,1,1.0,0.96,2020-12-17,,,500.0
166,363,643,22,157.9,31.8,1,0,2,1,1,1,1733,4,,0.64,2025-04-08,,1411.64,6372.475344505444
167,615,442,37,166.2,85.2,0,1,1,7,0,1,2743,1,5.0,0.49,2021-08-07,,,16741.9804046619
168,482,442,27,160.6,71.5,0,1,3,5,0,1,500,3,2.0,0.23,2024-10-09,,,14504.604268333092
169,932,560,49,156.9,68.6,1,0,2,2,0,1,1711,3,5.0,0.53,2022-06-10,,,500.0
170,163,42,27,137.6,57.3,0,1,2,0,1,1,3193,4,,0.07,2021-07-09,,,17151.38822035942
171,340,208,59,172.6,70.3,1,0,3,3,1,1,3498,2,,0.86,2023-01-15,335.0,459.59,12032.654325077505
172,854,621,41,177.4,82.0,1,1,2,5,0,1,1882,3,5.0,0.2,2023-12-26,,,28685.37160497041
173,568,28,45,162.2,46.1,0,0,1,3,1,1,1084,3,4.0,0.98,2024-08-11,820.0,10000.0,500.0
174,107,28,73,159.2,67.1,1,0,4,3,0,0,2345,3,,0.86,2022-11-22,346.0,,500.0
175,737,126,43,161.9,56.7,1,0,0,5,0,1,2740,1,4.0,0.1,2025-01-30,486.0,773.51,6726.144540197254
176,586,491,60,165.8,64.5,1,1,0,1,1,0,1704,1,,0.3,2021-06-17,,5000.0,500.0
177,420,261,57,173.2,54.9,0,0,0,0,1,1,871,3,,0.47,2024-10-19,706.0,,500.0
178,787,496,64,171.3,71.2,1,0,4,3,0,1,2589,3,,0.7,2021-10-27,,,20212.703427559845
179,260,404,49,181.9,72.9,0,0,3,2,1,1,1127,2,,0.22,2025-06-04,830.0,,5504.582746306162
180,923,287,68,181.6,81.4,1,0,4,3,0,1,1526,4,,0.49,2020-04-01,359.0,,8878.890939012841
181,346,235,23,162.8,42.8,1,0,1,1,0,0,1797,1,1.0,0.04,2024-01-07,595.0,546.16,500.0
182,323,524,40,155.4,74.5,0,0,0,0,1,1,2165,2,1.0,0.84,2022-09-28,846.0,887.1,500.0
183,699,28,72,171.1,60.4,0,0,2,6,1,1,2676,0,,0.46,2025-04-03,,5000.0,10124.44495985712
184,115,584,68,161.0,63.5,0,0,4,1,1,1,2107,1,5.0,0.84,2022-12-03,,688.7,8921.973730630438
185,770,48,32,163.8,76.0,1,0,3,2,1,1,2063,1,,0.38,2024-10-04,,854.72,6035.446018551712
186,209,28,48,188.6,81.7,0,1,4,4,1,1,1290,1,5.0,0.49,2022-07-21,331.0,10000.0,8255.660172817976
187,211,360,75,164.3,65.9,0,0,0,1,0,1,1313,1,,0.85,2025-02-09,805.0,1260.4,5083.612822428259
188,175,552,57,171.0,39.3,0,0,0,1,1,0,1029,2,3.0,0.52,2021-10-29,,10000.0,500.0
189,663,491,75,175.4,79.0,0,1,0,5,0,1,2362,1,4.0,0.39,2023-04-26,491.0,5000.0,500.0
190,870,584,62,178.4,66.8,0,1,0,2,1,1,3735,1,,0.4,2024-09-04,,,500.0
191,749,442,37,171.7,82.7,0,0,1,7,0,0,2379,2,,0.21,2023-04-28,487.0,,500.0
192,886,171,63,170.2,47.8,1,0,4,0,0,1,2170,0,,0.15,2021-05-12,,902.3,16629.25199108691
193,111,542,70,180.8,86.5,0,1,4,6,1,1,5826,2,5.0,0.62,2024-12-15,,,29125.10607760429
194,946,24,51,150.6,81.2,0,1,3,3,0,1,3353,4,,0.86,2021-12-31,,,29651.483306242997
195,232,629,31,176.9,72.0,1,0,3,5,1,0,1599,4,,0.35,2024-01-06,,5000.0,500.0
196,694,650,31,170.0,51.7,1,1,3,7,0,1,1814,1,,0.07,2023-10-19,,,38558.79613385785
197,342,610,21,172.5,75.1,0,1,2,3,1,1,609,0,3.0,1.0,2024-12-28,,723.68,500.0
198,961,351,20,179.9,73.5,0,1,1,0,1,1,3332,0,5.0,0.03,2021-08-28,660.0,,14791.054255033709
199,421,299,56,161.2,92.0,1,0,3,4,0,1,2204,4,,0.81,2022-06-18,,5000.0,24690.30817151772
200,765,97,42,166.9,85.5,1,1,0,0,0,1,3099,1,2.0,0.73,2021-03-04,,,14232.322333697375
201,111,370,55,182.7,74.8,0,0,3,0,1,0,1771,4,0.0,0.09,2020-02-28,301.0,5000.0,500.0
202,281,22,25,156.3,82.4,0,0,4,1,0,1,5431,3,,0.29,2022-01-22,505.0,5000.0,27702.156529405507
203,774,391,67,176.1,75.2,1,0,3,7,0,1,2979,3,4.0,0.56,2021-10-23,376.0,,30331.9324936551
204,320,2,49,180.4,66.0,0,1,0,6,1,0,3192,3,,0.35,2023-05-01,,621.78,500.0
205,731,315,47,168.4,66.8,0,0,2,1,0,1,3877,1,4.0,0.69,2021-09-27,,780.64,26198.455079027182
206,568,258,68,169.2,93.5,1,1,4,6,1,0,2128,0,,0.18,2020-07-12,,,500.0
207,710,363,19,152.9,55.7,1,1,0,7,0,1,1772,1,3.0,0.42,2022-02-20,,10000.0,12454.328982490384
208,467,612,65,176.8,59.5,1,1,1,7,0,0,5181,3,4.0,0.56,2021-05-08,,10000.0,14858.463980839962
209,289,355,75,160.0,66.5,0,1,2,4,1,1,3746,4,,0.73,2021-04-28,,1002.34,16415.71124195981
210,620,33,53,178.0,43.5,1,1,4,4,1,1,2952,0,0.0,0.03,2021-09-15,630.0,1101.41,24462.730419394706
211,589,632,59,151.6,78.3,1,1,0,6,1,1,500,0,3.0,0.38,2023-09-09,,672.52,500.0
212,327,42,20,171.6,88.3,0,0,2,6,0,0,500,0,2.0,0.2,2024-12-25,,921.64,500.0
213,329,320,34,176.9,43.0,0,1,3,4,0,1,1863,2,4.0,0.92,2024-02-13,,,14449.054890309168
214,961,304,54,164.4,80.1,0,1,0,1,1,1,1363,2,4.0,0.44,2020-11-24,,10000.0,500.0
215,197,481,73,159.4,69.4,0,1,1,3,1,0,3806,4,,0.29,2020-04-09,,,500.0
216,402,344,67,164.9,64.9,0,0,1,7,0,1,951,0,,0.35,2024-03-10,329.0,5000.0,500.0
217,41,528,25,170.7,79.9,1,0,0,4,0,0,500,4,,0.26,2022-09-01,,10000.0,500.0
218,456,35,66,151.8,58.3,1,0,4,3,0,0,2612,0,1.0,0.25,2021-08-12,,1616.31,500.0
219,351,216,69,185.7,71.8,0,0,0,5,0,1,936,4,2.0,0.28,2023-01-30,,,500.0
220,886,40,59,168.4,72.7,1,1,4,1,0,0,1251,2,4.0,0.86,2022-05-19,710.0,926.12,4878.545755190827
221,738,136,35,154.3,90.8,0,1,2,6,1,1,614,3,5.0,0.95,2021-12-01,,821.99,500.0
222,133,384,40,173.7,61.6,0,1,3,5,0,1,1899,4,,0.31,2021-01-29,312.0,1414.5,23223.68674933023
223,716,531,64,156.4,52.9,1,0,0,5,0,0,1541,2,1.0,0.33,2022-02-15,,,500.0
224,420,33,55,147.3,95.3,0,1,3,2,0,1,1440,2,,0.06,2022-07-26,636.0,948.67,32053.702626437243
225,606,384,51,189.5,66.6,0,1,0,3,0,0,4944,2,1.0,0.92,2021-03-03,,10000.0,500.0
226,432,339,43,161.7,70.8,1,0,3,1,1,0,1103,2,,0.69,2025-04-12,,10000.0,500.0
227,936,477,36,168.7,94.1,1,0,2,7,1,1,2002,1,0.0,0.23,2021-01-23,651.0,5000.0,9001.546015414096
228,297,209,72,161.5,47.1,1,1,2,6,1,0,4216,1,,0.29,2020-03-06,476.0,10000.0,500.0
229,759,550,23,166.6,66.8,1,0,4,6,1,1,2582,2,3.0,0.83,2021-10-29,,5000.0,10903.397392817302
230,709,481,67,155.8,61.9,1,0,1,4,0,1,863,0,,0.65,2021-05-31,323.0,10000.0,500.0
231,875,287,26,165.8,83.7,1,0,4,5,0,0,3895,4,,0.61,2023-12-02,,,3166.058998466729
232,298,528,70,170.0,68.5,1,1,3,7,1,1,500,2,,0.92,2022-12-08,796.0,548.48,24181.38134356665
233,469,122,64,161.4,69.0,0,0,0,7,1,1,3318,4,5.0,0.61,2024-08-10,,10000.0,2720.813788949977
